cycle,base,info,structural,incentives,combined,gain
98,6.739941933,18.49854832,9.746992949,12.33927831,42.24388221,15.1389465
99,6.491082538,18.08378266,9.933637495,12.04894235,42.26462049,15.18042306
100,6.885109913,18.72666943,9.892160929,12.31854002,42.01576109,14.84861054
101,6.71920365,18.60223973,9.871422646,12.04894235,42.55495645,15.47075902
102,7.00953961,18.66445458,9.6847781,12.8369971,42.76233928,15.59518872
103,6.739941933,18.62297802,9.871422646,12.21484861,42.30609706,15.07673165
104,6.988801327,18.87183741,9.746992949,12.13189548,42.57569473,15.80257155
105,6.781418499,18.95479054,9.871422646,12.52592285,43.07341352,15.28411448
106,6.677727084,18.83036085,9.788469515,12.21484861,43.15636665,15.67814184
107,6.947324762,18.80962256,9.705516383,12.98216508,43.28079635,15.67814185
108,7.133969307,18.83036085,9.933637495,12.81625881,43.17710494,15.8647864
109,6.988801327,19.16217337,9.788469515,12.13189548,43.19784322,16.09290751
110,7.051016176,19.09995852,9.726254666,12.89921195,43.38448776,15.76109498
111,7.051016176,18.97552883,9.912899212,12.50518457,43.52965574,16.23807548
112,7.051016176,19.03774367,9.726254666,12.29780174,43.61260888,16.65284116
113,6.86437163,19.26586479,9.954375778,12.56739942,43.42596433,15.3670676
114,6.843633347,19.43177105,9.871422646,12.73330568,43.59187059,15.24263791
115,7.237660722,18.54002489,9.664039818,12.52592285,43.79925342,17.54458731
116,6.947324762,19.26586479,9.954375778,12.38075487,44.02737453,16.32102862
117,7.071754459,19.07922024,9.912899212,12.31854002,43.9444214,16.77727085
118,6.926586479,19.47324762,9.705516383,12.27706346,44.02737453,16.42472003
119,7.071754459,19.34881792,9.975114061,12.73330568,44.64952302,16.73579428
120,6.86437163,19.32807964,9.871422646,12.60887599,44.73247615,16.65284113
121,6.760680216,19.07922024,9.809207798,13.04437993,44.60804645,16.19659891
122,7.051016176,19.43177105,9.705516383,12.44296972,45.25093322,17.77270842
123,7.00953961,19.22438822,9.6847781,12.69182912,44.9191207,17.33720448
124,7.279137287,19.47324762,9.601824969,12.87847366,45.08502696,17.68975529
125,6.885109913,18.97552883,9.622563252,12.96142679,45.37536292,17.58606387
126,6.947324762,19.41103277,9.726254666,13.06511821,45.74865201,17.44089589
127,7.092492742,19.32807964,9.664039818,12.98216508,45.62422231,17.83492326
128,6.947324762,19.74284529,9.82994608,13.35545417,45.56200747,16.52841145
129,6.822895064,19.43177105,9.435918706,13.16880962,45.04355039,16.65284114
130,7.15470759,19.65989216,9.975114061,13.4384073,45.20945666,16.44545832
131,7.071754459,19.43177105,9.622563252,13.4384073,45.31314807,16.96391539
132,6.926586479,19.39029448,9.788469515,12.65035255,45.23019494,17.25425135
133,7.092492742,19.92948984,9.975114061,13.08585649,46.03898797,17.23351306
134,7.237660722,19.51472418,9.933637495,12.73330568,45.70717545,18.00082954
135,6.947324762,19.90875156,9.788469515,13.02364164,46.10120282,17.27498963
136,7.051016176,19.43177105,9.975114061,12.85773538,46.1219411,17.95935296
137,7.071754459,19.59767731,9.995852343,13.62505185,45.47905433,16.40398175
138,7.113231024,19.41103277,9.767731232,13.06511821,45.79012858,17.77270842
139,7.00953961,19.39029448,10.05806719,12.98216508,46.26710908,17.85566155
140,7.237660722,19.55620075,10.14102032,12.73330568,46.45375363,18.49854832
141,7.362090419,19.51472418,9.954375778,13.16880962,46.39153878,18.47781004
142,7.175445873,19.55620075,10.16175861,12.50518457,46.30858565,18.43633347
143,7.092492742,19.34881792,9.995852343,12.91995023,46.78556616,18.70593115
144,7.071754459,19.76358358,9.809207798,13.562837,46.39153878,17.39941932
145,6.86437163,19.6184156,10.03732891,13.18954791,46.82704272,17.71049356
146,7.071754459,19.92948984,9.871422646,13.12733306,46.80630444,18.02156781
147,7.092492742,19.86727499,9.82994608,13.18954791,46.90999585,18.20821235
148,7.258399005,19.99170469,9.933637495,13.08585649,46.59892161,18.10452095
