sort_frequency_habit,sort_frequency_nohabit
0.035175879,0.442211055
0.708542714,0.216080402
0,0.065326633
0.070351759,0.884422111
0.829145729,0.522613065
0.035175879,0.884422111
0.005025126,0.090452261
0.095477387,0.608040201
0.884422111,0.301507538
0.778894472,0.331658291
1,0.75879397
0.010050251,0.673366834
0,0.366834171
0.91959799,0.537688442
0,0.613065327
0,0.447236181
0.934673367,0.43718593
0,0.547738693
0,0.261306533
0.874371859,0.522613065
0.015075377,0.120603015
0.949748744,0.361809045
0.025125628,0.381909548
0.969849246,0.346733668
0.015075377,0.809045226
1,0.572864322
0.949748744,0.216080402
0.025125628,0.201005025
0,0.336683417
0.010050251,0.542713568
0.005025126,0.422110553
0.989949749,0.477386935
